"Correlation id","Operation name","Status","Event category","Level","Time","Subscription","Event initiated by","Resource type","Resource group","Resource"
"4c76a353-898a-c122-7a61-62976653273e","Delete resource group","Succeeded","Administrative","Informational","2026-03-29T20:01:34.448Z","5b043fc5-954d-4e2c-b5e5-84d46ec836d0","github-actions-hub-spoke","Microsoft.Resources/subscriptions/resourcegroups","rg-layer3-vwan-dev","/subscriptions/5b043fc5-954d-4e2c-b5e5-84d46ec836d0/resourcegroups/rg-layer3-vwan-dev"
"4c76a353-898a-c122-7a61-62976653273e","Delete Virtual Machine Extension","Started","Administrative","Informational","2026-03-29T19:31:56.460Z","5b043fc5-954d-4e2c-b5e5-84d46ec836d0","github-actions-hub-spoke","Microsoft.Compute/virtualMachines/extensions","rg-layer3-vwan-dev","/subscriptions/5b043fc5-954d-4e2c-b5e5-84d46ec836d0/resourceGroups/rg-layer3-vwan-dev/providers/Microsoft.Compute/virtualMachines/vm-spoke1-dev/extensions/NetworkWatcherAgentLinux"
"4c76a353-898a-c122-7a61-62976653273e","Deletes a HubVirtualNetworkConnection","Started","Administrative","Informational","2026-03-29T19:31:56.481Z","5b043fc5-954d-4e2c-b5e5-84d46ec836d0","github-actions-hub-spoke","Microsoft.Network/virtualHubs/hubVirtualNetworkConnections","rg-layer3-vwan-dev","/subscriptions/5b043fc5-954d-4e2c-b5e5-84d46ec836d0/resourceGroups/rg-layer3-vwan-dev/providers/Microsoft.Network/virtualHubs/vhub-hubspoke-dev/hubVirtualNetworkConnections/conn-vhub-spoke2-dev"
"4c76a353-898a-c122-7a61-62976653273e","Deletes Routing Intent child resource of Virtual Hub","Started","Administrative","Informational","2026-03-29T19:31:56.574Z","5b043fc5-954d-4e2c-b5e5-84d46ec836d0","github-actions-hub-spoke","Microsoft.Network/virtualHubs/routingIntent","rg-layer3-vwan-dev","/subscriptions/5b043fc5-954d-4e2c-b5e5-84d46ec836d0/resourceGroups/rg-layer3-vwan-dev/providers/Microsoft.Network/virtualHubs/vhub-hubspoke-dev/routingIntent/ri-vhub-dev"
"4c76a353-898a-c122-7a61-62976653273e","Delete Firewall Policy Rule Collection Group","Started","Administrative","Informational","2026-03-29T19:31:56.654Z","5b043fc5-954d-4e2c-b5e5-84d46ec836d0","github-actions-hub-spoke","Microsoft.Network/firewallPolicies/ruleCollectionGroups","rg-layer3-vwan-dev","/subscriptions/5b043fc5-954d-4e2c-b5e5-84d46ec836d0/resourceGroups/rg-layer3-vwan-dev/providers/Microsoft.Network/firewallPolicies/fwpol-hub-dev/ruleCollectionGroups/rcg-hub-dev"
"4c76a353-898a-c122-7a61-62976653273e","Deletes Routing Intent child resource of Virtual Hub","Failed","Administrative","Error","2026-03-29T19:31:56.667Z","5b043fc5-954d-4e2c-b5e5-84d46ec836d0","github-actions-hub-spoke","Microsoft.Network/virtualHubs/routingIntent","rg-layer3-vwan-dev","/subscriptions/5b043fc5-954d-4e2c-b5e5-84d46ec836d0/resourceGroups/rg-layer3-vwan-dev/providers/Microsoft.Network/virtualHubs/vhub-hubspoke-dev/routingIntent/ri-vhub-dev"
"4c76a353-898a-c122-7a61-62976653273e","Deletes a Bastion Host","Started","Administrative","Informational","2026-03-29T19:31:56.690Z","5b043fc5-954d-4e2c-b5e5-84d46ec836d0","github-actions-hub-spoke","Microsoft.Network/bastionHosts","rg-layer3-vwan-dev","/subscriptions/5b043fc5-954d-4e2c-b5e5-84d46ec836d0/resourceGroups/rg-layer3-vwan-dev/providers/Microsoft.Network/bastionHosts/bas-vwan-dev"
"4c76a353-898a-c122-7a61-62976653273e","Deletes a HubVirtualNetworkConnection","Accepted","Administrative","Informational","2026-03-29T19:31:56.762Z","5b043fc5-954d-4e2c-b5e5-84d46ec836d0","github-actions-hub-spoke","Microsoft.Network/virtualHubs/hubVirtualNetworkConnections","rg-layer3-vwan-dev","/subscriptions/5b043fc5-954d-4e2c-b5e5-84d46ec836d0/resourceGroups/rg-layer3-vwan-dev/providers/Microsoft.Network/virtualHubs/vhub-hubspoke-dev/hubVirtualNetworkConnections/conn-vhub-spoke2-dev"
"4c76a353-898a-c122-7a61-62976653273e","Delete resource diagnostic setting","Started","Administrative","Informational","2026-03-29T19:31:56.769Z","5b043fc5-954d-4e2c-b5e5-84d46ec836d0","github-actions-hub-spoke","Microsoft.Insights/diagnosticSettings","rg-layer3-vwan-dev","/subscriptions/5b043fc5-954d-4e2c-b5e5-84d46ec836d0/resourceGroups/rg-layer3-vwan-dev/providers/Microsoft.Network/azureFirewalls/fw-hub-dev/providers/Microsoft.Insights/diagnosticSettings/diag-fw-hub-dev"
"4c76a353-898a-c122-7a61-62976653273e","Delete Virtual Machine Extension","Started","Administrative","Informational","2026-03-29T19:31:56.834Z","5b043fc5-954d-4e2c-b5e5-84d46ec836d0","github-actions-hub-spoke","Microsoft.Compute/virtualMachines/extensions","rg-layer3-vwan-dev","/subscriptions/5b043fc5-954d-4e2c-b5e5-84d46ec836d0/resourceGroups/rg-layer3-vwan-dev/providers/Microsoft.Compute/virtualMachines/vm-spoke2-dev/extensions/NetworkWatcherAgentLinux"
